Comment,Designator,Footprint,JLCPCB Part #
100n,"C15,C14,C6,C9,C11,C7,C13,C4,C12,C16",C_0402_1005Metric,C1525
1u,"C10,C8",C_0402_1005Metric,C52923
1k,R1,C_0402_1005Metric,C11702
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C113767
RP2040,U3,QFN40P700X700X90-57N,C2040
27,"R5,R4",C_0402_1005Metric,C25100
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C40395
1k,R3,C_0402_1005Metric,C11702
USB_C_Receptacle,J1,USB_C_Receptacle_Amphenol_12401610E4-2A,C9900018430
27p,"C2,C1",C_0402_1005Metric,C1557
BOOTSEL,S1,SW_TS-1187A-B-A-B,C318884
USB_C_Receptacle,,,