Designator,Mid X,Mid Y,Layer,Rotation
C1,94.7,-72.3,top,180
C2,102.8,-73.1,top,0
C4,94.1,-62.3,top,-90
C6,100.8,-60.36,top,90
C7,106.6,-72.3,top,0
C8,106.1,-60.37,top,90
C9,102.2,-60.35,top,90
C10,107.4,-60.37,top,90
C11,97.8,-64.865,top,-90
C12,108.53,-67.18,top,90
C13,98.2,-68.465,top,-90
C14,104.8,-72.82,top,-90
C15,107,-57.265,top,-90
C16,105.7,-57.265,top,-90
J1,99.86,-44.385,top,180
R1,100.1,-57.88,top,-90
R3,102.8,-71.9,top,180
R4,103.5,-60.34,top,-90
R5,104.8,-60.4,top,-90
S1,94.125,-67,top,90
U2,95.3,-55.5,top,-90
U3,103.4,-67.065,top,0
Y1,98.6,-74.37,top,0